num,authors,title,year,doi,status,source,file_path,pdf_url
42,,Altered Dentate Gyrus Microstructure in Individuals at High Familial Risk for Depression Predicts Fu,2020,10.1016/j.bpsc.2020.06.006,abstract_saved,,/home/juke/jiook_cha_papers_download/out_3/abstracts/042_Unknown_2020.txt,
43,,Machine learning prediction of incidence of Alzheimer's disease using large-scale administrative hea,2020,10.1038/s41746-020-0256-0,pdf_downloaded,SemanticScholar,/home/juke/jiook_cha_papers_download/out_3/papers/043_Unknown_2020.pdf,https://www.nature.com/articles/s41746-020-0256-0.pdf
44,,"Altered White Matter Microstructural Organization in Post-Traumatic Stress Disorder across 3,047 Adu",2019,10.1038/s41380-019-0631-x,pdf_downloaded,CrossRef,/home/juke/jiook_cha_papers_download/out_3/papers/044_Unknown_2019.pdf,https://www.nature.com/articles/s41380-019-0631-x.pdf
45,,Electronic Health Records Based Prediction of Future Incidence of Alzheimer's Disease Using Machine ,2019,10.1101/625582,pdf_downloaded,SemanticScholar,/home/juke/jiook_cha_papers_download/out_3/papers/045_Unknown_2019.pdf,https://www.biorxiv.org/content/biorxiv/early/2020/02/10/625582.full.pdf
46,,Structural neural markers of response to cognitive behavioral therapy in pediatric obsessive-compuls,2019,10.1111/jcpp.13191,abstract_saved,,/home/juke/jiook_cha_papers_download/out_4/abstracts/046_Unknown_2019.txt,
47,,Diagnosis and prognosis of Alzheimer's disease using brain morphometry and white matter connectomes.,2018,10.1016/j.nicl.2019.101859,abstract_saved,,/home/juke/jiook_cha_papers_download/out_4/abstracts/047_Unknown_2018.txt,
48,,From Anxious to Reckless: A Control Systems Approach Unifies Prefrontal-Limbic Regulation Across the,2017,10.3389/fnsys.2017.00018,pdf_downloaded,SemanticScholar,/home/juke/jiook_cha_papers_download/out_4/papers/048_Unknown_2017.pdf,https://www.frontiersin.org/articles/10.3389/fnsys.2017.00018/pdf
49,,The Effects of Obstructive Sleep Apnea Syndrome on the Dentate Gyrus and Learning and Memory in Chil,2017,10.1523/JNEUROSCI.3583-16.2017,abstract_saved,,/home/juke/jiook_cha_papers_download/out_4/abstracts/049_Unknown_2017.txt,
50,,Increased Default Mode Network Connectivity in Individuals at High Familial Risk for Depression. (20,2016,10.1038/npp.2015.342,pdf_downloaded,SemanticScholar,/home/juke/jiook_cha_papers_download/out_4/papers/050_Unknown_2016.pdf,https://www.nature.com/articles/npp2015342.pdf
51,,Alterations in amygdala–prefrontal circuits in infants exposed to prenatal maternal depression. (201,2016,10.1038/tp.2016.146,pdf_downloaded,CrossRef,/home/juke/jiook_cha_papers_download/out_4/papers/051_Unknown_2016.pdf,https://www.nature.com/articles/tp2016146.pdf
52,,Clinically Anxious Individuals Show Disrupted Feedback between Inferior Frontal Gyrus and Prefrontal,2016,10.1523/JNEUROSCI.1092-15.2016,abstract_saved,,/home/juke/jiook_cha_papers_download/out_4/abstracts/052_Unknown_2016.txt,
53,,Evidence for Thalamocortical Circuit Abnormalities and Associated Cognitive Dysfunctions in Underwei,2016,10.1038/npp.2015.314,pdf_downloaded,SemanticScholar,/home/juke/jiook_cha_papers_download/out_4/papers/053_Unknown_2016.pdf,https://www.nature.com/articles/npp2015314.pdf
54,,Abnormal hippocampal structure and function in clinical anxiety and comorbid depression. (2016),2016,10.1002/hipo.22566,pdf_downloaded,SemanticScholar,/home/juke/jiook_cha_papers_download/out_4/papers/054_Unknown_2016.pdf,https://europepmc.org/articles/pmc4837065?pdf=render
55,,"Abnormal reward circuitry in anorexia nervosa: A longitudinal, multimodal MRI study. (2016)",2016,10.1002/hbm.23279,abstract_saved,,/home/juke/jiook_cha_papers_download/out_4/abstracts/055_Unknown_2016.txt,
56,,Neural Correlates of Aggression in Medication-Naive Children with ADHD: Multivariate Analysis of Mor,2015,10.1038/npp.2015.18,pdf_downloaded,SemanticScholar,/home/juke/jiook_cha_papers_download/out_4/papers/056_Unknown_2015.pdf,https://www.nature.com/articles/npp201518.pdf
57,VENTROMEDIAL PREFRONTAL CORTEX REACTIVITY IS ALTERED IN GENE,(2013),2013,10.1002/da.22016,abstract_saved,,/home/juke/jiook_cha_papers_download/out_4/abstracts/057_GENERALIZATION_2013.txt,
58,,Hyper-Reactive Human Ventral Tegmental Area and Aberrant Mesocorticolimbic Connectivity in Overgener,2014,10.1523/JNEUROSCI.4868-13.2014,abstract_saved,,/home/juke/jiook_cha_papers_download/out_4/abstracts/058_Unknown_2014.txt,
59,,Circuit-Wide Structural and Functional Measures Predict Ventromedial Prefrontal Cortex Fear Generali,2014,10.1523/JNEUROSCI.3372-13.2014,abstract_saved,,/home/juke/jiook_cha_papers_download/out_4/abstracts/059_Unknown_2014.txt,
60,,Effects of Serotonin Transporter Gene Variation on Impulsivity Mediated by Default Mode Network: A F,2018,10.1093/cercor/bhx097,failed,,,
